failed_attempts_5m,ip_reputation_score,velocity_kmh,is_tor_or_vpn,country_mismatch,hour_anomaly_score,device_trust_score,is_compromised
0,0.0258,79.98,0,0,0.0788,0.826,0
0,0.0247,3.18,0,0,0.4077,0.8583,0
2,0.1593,35.36,0,0,0.1327,0.4389,0
1,0.0774,35.47,0,0,0.219,0.7833,0
1,0.0638,26.55,0,0,0.0941,0.8366,0
0,0.0866,35.57,0,0,0.0121,0.9257,0
0,0.0054,1.08,0,0,0.0812,0.5729,0
0,0.1994,102.18,0,0,0.125,0.9621,0
0,0.3647,15.98,0,0,0.1908,0.8052,0
0,0.0558,64.77,0,0,0.1974,0.8317,0
0,0.1336,29.76,0,0,0.4265,0.8345,0
0,0.1575,51.34,0,0,0.1904,0.8712,0
0,0.1116,67.34,0,0,0.0646,0.9828,0
0,0.1272,56.13,0,0,0.3678,0.9935,0
0,0.0815,39.63,0,0,0.1314,0.9787,0
0,0.1586,2.68,0,0,0.2591,0.8524,0
0,0.2037,20.79,0,0,0.0448,0.7945,0
20,0.9517,1159.84,1,1,0.6328,0.0268,1
1,0.1142,0.39,0,1,0.1364,0.9694,0
0,0.1254,12.0,0,0,0.4334,0.6979,0
7,0.6101,3412.51,1,0,0.9001,0.1978,1
0,0.1479,50.98,0,0,0.1345,0.9398,0
0,0.0632,47.83,0,0,0.0993,0.8564,0
8,0.9313,0.4,1,1,0.4596,0.4863,1
1,0.105,23.25,0,0,0.1831,0.8089,0
7,0.566,1018.78,1,0,0.8699,0.0654,1
0,0.0527,32.29,0,0,0.0607,0.8664,0
1,0.0295,33.74,0,0,0.2429,0.8754,0
0,0.005,50.9,0,0,0.2282,0.6516,0
8,0.9218,3200.56,1,0,0.7677,0.1476,1
0,0.131,42.26,0,0,0.3075,0.9827,0
1,0.1308,7.3,0,0,0.1053,0.6795,0
1,0.1476,35.2,0,0,0.1317,0.7331,0
1,0.0603,7.45,0,0,0.0178,0.8983,0
0,0.1494,12.2,0,0,0.0716,0.7904,0
1,0.2384,0.05,0,0,0.1097,0.9534,0
0,0.1458,26.53,0,0,0.1027,0.5893,0
0,0.0897,9.0,0,0,0.1462,0.6015,0
1,0.0123,56.26,0,0,0.1295,0.9415,0
3,0.0571,63.59,0,0,0.2589,0.5544,0
2,0.1764,37.78,0,0,0.0696,0.8449,0
0,0.0673,28.62,0,0,0.1413,0.8519,0
2,0.0752,35.43,0,0,0.2073,0.8867,0
0,0.1469,35.57,0,0,0.343,0.8752,0
8,0.584,2564.94,1,0,0.5542,0.2437,1
0,0.0778,3.88,0,0,0.2152,0.7539,0
1,0.0529,168.36,0,0,0.1402,0.978,0
1,0.0211,13.17,0,0,0.094,0.8064,0
0,0.0574,46.68,0,0,0.647,0.9748,0
0,0.1495,24.03,0,0,0.0211,0.9128,0
1,0.1107,63.5,0,0,0.1546,0.5723,0
1,0.0611,71.52,0,0,0.0451,0.9101,0
0,0.4402,21.83,0,0,0.0853,0.7825,0
0,0.1407,12.74,0,0,0.0411,0.93,0
1,0.0862,1.68,0,0,0.1293,0.7315,0
1,0.1601,28.88,0,0,0.2149,0.6741,0
0,0.0596,39.93,0,0,0.326,0.8063,0
